"LICH_SPPCD","YEARSTART","YEAREND","SPP_ACRONYM","GENUS","SPECIES","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
3100,1993,,"Hyp","Hypogymnia","","688739000333","",2004-03-22,"999","",2005-06-07,"333"
3101,1993,,"Hypapi","Hypogymnia","apinnata","688715000333","",2004-03-22,"999","",2005-06-07,"333"
3102,1993,,"Hypaus","Hypogymnia","austerodes","688716000333","",2004-03-22,"999","",2005-06-07,"333"
3103,1993,,"Hypbit","Hypogymnia","bitteri","688717000333","",2004-03-22,"999","",2005-06-07,"333"
3104,1993,,"Hypdup","Hypogymnia","duplicata","688718000333","",2004-03-22,"999","",2005-06-07,"333"
3105,1993,,"Hypent","Hypogymnia","enteromorpha","688719000333","",2004-03-22,"999","",2005-06-07,"333"
3106,1993,,"Hypfar","Hypogymnia","farinacea","688720000333","",2004-03-22,"999","",2005-06-07,"333"
3107,1993,,"Hyphet","Hypogymnia","heterophylla","688722000333","",2004-03-22,"999","",2005-06-07,"333"
3108,1993,,"Hypims","Hypogymnia","imshaugii","688723000333","",2004-03-22,"999","",2005-06-07,"333"
3109,1993,,"Hypina","Hypogymnia","inactiva","688724000333","",2004-03-22,"999","",2005-06-07,"333"
3110,1993,,"Hypkro","Hypogymnia","krogiae","688725000333","",2004-03-22,"999","",2005-06-07,"333"
3111,1993,,"Hyplug","Hypogymnia","lugubris","688726000333","",2004-03-22,"999","",2005-06-07,"333"
3112,1993,,"Hypmet","Hypogymnia","metaphysodes","688727000333","",2004-03-22,"999","",2005-06-07,"333"
3113,1993,,"Hypmol","Hypogymnia","mollis","688728000333","",2004-03-22,"999","",2005-06-07,"333"
3114,1993,,"Hypocc","Hypogymnia","occidentalis","688729000333","",2004-03-22,"999","",2005-06-07,"333"
3115,1993,,"Hypoce","Hypogymnia","oceanica","688730000333","",2004-03-22,"999","",2005-06-07,"333"
3116,1993,,"Hypphy","Hypogymnia","physodes","688731000333","",2004-03-22,"999","",2005-06-07,"333"
3117,1993,,"Hyppse","Hypogymnia","pseudophysodes","688732000333","",2004-03-22,"999","",2005-06-07,"333"
3118,1993,,"Hyppul","Hypogymnia","pulverata","688733000333","",2004-03-22,"999","",2005-06-07,"333"
3119,1993,,"Hyprug","Hypogymnia","rugosa","688734000333","",2004-03-22,"999","",2005-06-07,"333"
3120,1993,,"Hypsub","Hypogymnia","subcapitata","688736000333","",2004-03-22,"999","",2005-06-07,"333"
3121,1993,,"Hyptub","Hypogymnia","tubulosa","688737000333","",2004-03-22,"999","",2005-06-07,"333"
3122,1993,,"Hypvit","Hypogymnia","vittata","688738000333","",2004-03-22,"999","",2005-06-07,"333"
3123,2001,,"Hypgra","Hypogymnia","gracilis","688721000333","",2004-03-22,"999","",2005-06-07,"333"
3124,2001,,"Hypsch","Hypogymnia","schizidiata","688735000333","",2004-03-22,"999","",2005-06-07,"333"
3200,1993,,"Htr","Hypotrachyna","","688764000333","",2004-03-22,"999","",2005-06-07,"333"
3201,1993,,"Htrcro","Hypotrachyna","croceopustulata","688741000333","",2004-03-22,"999","",2005-06-07,"333"
3202,1993,,"Htrden","Hypotrachyna","densirhizinata","688742000333","",2004-03-22,"999","",2005-06-07,"333"
3203,1993,,"Htrdet","Hypotrachyna","dentella","688743000333","",2004-03-22,"999","",2005-06-07,"333"
3204,1993,,"Htrens","Hypotrachyna","ensifolia","688744000333","",2004-03-22,"999","",2005-06-07,"333"
3205,1993,,"Htrgon","Hypotrachyna","gondylophora","688745000333","",2004-03-22,"999","",2005-06-07,"333"
3206,1993,,"Htrimb","Hypotrachyna","imbricatula","688746000333","",2004-03-22,"999","",2005-06-07,"333"
3207,1993,,"Htrlae","Hypotrachyna","laevigata","688747000333","",2004-03-22,"999","",2005-06-07,"333"
3208,1993,,"Htrliv","Hypotrachyna","livida","688748000333","",2004-03-22,"999","",2005-06-07,"333"
3209,1993,,"Htroos","Hypotrachyna","oostingii","688750000333","",2004-03-22,"999","",2005-06-07,"333"
3210,1993,,"Htross","Hypotrachyna","osseoalba","688751000333","",2004-03-22,"999","",2005-06-07,"333"
3211,1993,,"Htrpro","Hypotrachyna","producta","688752000333","",2004-03-22,"999","",2005-06-07,"333"
3212,1993,,"Htrprl","Hypotrachyna","prolongata","688753000333","",2004-03-22,"999","",2005-06-07,"333"
3213,1993,,"Htrpse","Hypotrachyna","pseudosinuosa","688754000333","",2004-03-22,"999","",2005-06-07,"333"
3214,1993,,"Htrpul","Hypotrachyna","pulvinata","688755000333","",2004-03-22,"999","",2005-06-07,"333"
3215,1993,,"Htrpus","Hypotrachyna","pustulifera","688756000333","",2004-03-22,"999","",2005-06-07,"333"
3216,1993,,"Htrrev","Hypotrachyna","revoluta","688757000333","",2004-03-22,"999","",2005-06-07,"333"
3217,1993,,"Htrroc","Hypotrachyna","rockii","688759000333","",2004-03-22,"999","",2005-06-07,"333"
3218,1993,,"Htrsho","Hypotrachyna","showmanii","688760000333","",2004-03-22,"999","",2005-06-07,"333"
3219,1993,,"Htrsin","Hypotrachyna","sinuosa","688761000333","",2004-03-22,"999","",2005-06-07,"333"
3220,1993,,"Htrthy","Hypotrachyna","thysanota","688762000333","",2004-03-22,"999","",2005-06-07,"333"
3221,1993,,"Htrvir","Hypotrachyna","virginica","688763000333","",2004-03-22,"999","",2005-06-07,"333"
3222,1994,,"Htrnov","Hypotrachyna","novella","688749000333","",2004-03-22,"999","",2005-06-07,"333"
3223,1999,,"Htrrip","Hypotrachyna","riparia","688758000333","",2004-03-22,"999","",2005-06-07,"333"
3224,2005,,"Htrafr","Hypotrachyna","afrorevoluta","688740000333","",2006-03-31,"333","",,""
3300,1993,,"Ims","Imshaugia","","688767000333","",2004-03-22,"999","",2005-06-07,"333"
3301,1993,,"Imsale","Imshaugia","aleurites","688765000333","",2004-03-22,"999","",2005-06-07,"333"
3302,1993,,"Imspla","Imshaugia","placorodia","688766000333","",2004-03-22,"999","",2005-06-07,"333"
3400,1993,,"Koe","Koerberia","","688769000333","",2004-03-22,"999","",2005-06-07,"333"
3401,1993,,"Koebif","Koerberia","biformis","688768000333","",2004-03-22,"999","",2005-06-07,"333"
3410,1995,,"Las","Lasallia","","688771000333","",2004-03-22,"999","",2005-06-07,"333"
3411,1995,,"Laspap","Lasallia","papulosa","688770000333","",2004-03-22,"999","",2005-06-07,"333"
3500,1993,,"Lei","Leioderma","","688775000333","",2004-03-22,"999","",2005-06-07,"333"
3501,1993,,"Leisor","Leioderma","sorediatum","688774000333","",2004-03-22,"999","",2005-06-07,"333"
3600,1993,,"Lep","Leptogium","","688819000333","",2004-03-22,"999","",2005-06-07,"333"
3601,1993,,"Lepadp","Leptogium","adpressum","688778000333","",2004-03-22,"999","",2005-06-07,"333"
3602,1993,,"Lepars","Leptogium","arsenei","688779000333","",2004-03-22,"999","",2005-06-07,"333"
3603,1993,,"Lepaus","Leptogium","austroamericanum","688780000333","",2004-03-22,"999","",2005-06-07,"333"
3604,1993,,"Lepazu","Leptogium","azureum","688781000333","",2004-03-22,"999","",2005-06-07,"333"
3605,1993,,"Lepbrg","Leptogium","burgessii","688782000333","",2004-03-22,"999","",2005-06-07,"333"
3606,1993,,"Lepbur","Leptogium","burnetiae","688783000333","",2004-03-22,"999","",2005-06-07,"333"
